
====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - caltech-101
====================================================================================================
+----------+------------+------------+------------+------------+------------+------------+---------+
| Label    | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
| Label 81  |     0.7083 |     0.7500 |     0.7917 |     0.7500 |     0.7083 |     0.6667 |  0.7292 |
| Label 82  |     0.6250 |     0.6250 |     0.7083 |     0.6667 |     0.6667 |     0.6667 |  0.6597 |
| Label 83  |     0.5833 |     0.5833 |     0.5833 |     0.5833 |     0.5833 |     0.5833 |  0.5833 |
| Label 84  |     0.7917 |     0.7500 |     0.6667 |     0.6667 |     0.7083 |     0.9167 |  0.7500 |
| Label 85  |     0.5000 |     0.4583 |     0.5000 |     0.4167 |     0.5417 |     0.6250 |  0.5069 |
| Label 86  |     0.6786 |     0.5714 |     0.5000 |     0.4643 |     0.5000 |     0.6071 |  0.5536 |
| Label 87  |     0.7692 |     0.6923 |     0.6923 |     0.7692 |     0.7308 |     0.7308 |  0.7308 |
| Label 88  |     0.5172 |     0.5517 |     0.4828 |     0.5172 |     0.5172 |     0.5172 |  0.5172 |
| Label 89  |     0.6250 |     0.5417 |     0.5000 |     0.5000 |     0.6250 |     0.6250 |  0.5694 |
| Label 90  |     0.5714 |     0.5357 |     0.6071 |     0.6071 |     0.6071 |     0.5714 |  0.5833 |
| Label 91  |     0.5417 |     0.5833 |     0.5417 |     0.5000 |     0.4583 |     0.5000 |  0.5208 |
| Label 92  |     0.5200 |     0.5600 |     0.5200 |     0.4800 |     0.4400 |     0.4800 |  0.5000 |
| Label 93  |     0.5417 |     0.5833 |     0.5833 |     0.5833 |     0.5417 |     0.5833 |  0.5694 |
| Label 94  |     0.6400 |     0.6800 |     0.6800 |     0.6800 |     0.6400 |     0.6400 |  0.6600 |
| Label 95  |     0.7600 |     0.8000 |     0.8000 |     0.7600 |     0.7600 |     0.8000 |  0.7800 |
| Label 96  |     0.7778 |     0.6296 |     0.6296 |     0.6296 |     0.5556 |     0.5926 |  0.6358 |
| Label 97  |     0.4167 |     0.5417 |     0.5833 |     0.5833 |     0.5417 |     0.6667 |  0.5556 |
| Label 98  |     0.6667 |     0.6296 |     0.6296 |     0.6667 |     0.6296 |     0.6667 |  0.6481 |
| Label 99  |     0.6552 |     0.6207 |     0.7241 |     0.6552 |     0.6552 |     0.7241 |  0.6724 |
| Label 100 |     0.5833 |     0.5417 |     0.5417 |     0.5417 |     0.5000 |     0.5417 |  0.5417 |
| Label 101 |     0.6552 |     0.6207 |     0.6552 |     0.6552 |     0.6897 |     0.7241 |  0.6667 |
| Label 102 |     0.4828 |     0.5517 |     0.5517 |     0.5517 |     0.5517 |     0.5517 |  0.5402 |
| Label 103 |     0.6897 |     0.5517 |     0.5517 |     0.5517 |     0.5517 |     0.5862 |  0.5805 |
| Label 104 |     0.5357 |     0.5357 |     0.6071 |     0.5714 |     0.6071 |     0.8571 |  0.6190 |
| Label 105 |     0.6667 |     0.6667 |     0.5667 |     0.5667 |     0.6333 |     0.5667 |  0.6111 |
| Label 106 |     0.4828 |     0.5172 |     0.4828 |     0.4828 |     0.5517 |     0.5862 |  0.5172 |
| Label 107 |     0.5333 |     0.5667 |     0.6000 |     0.5333 |     0.5333 |     0.6667 |  0.5722 |
| Label 108 |     0.5714 |     0.7143 |     0.6429 |     0.6071 |     0.6429 |     0.8571 |  0.6726 |
| Label 109 |     0.4800 |     0.6400 |     0.6800 |     0.6000 |     0.4800 |     0.6000 |  0.5800 |
| Label 110 |     0.7500 |     0.6667 |     0.6667 |     0.6250 |     0.7083 |     0.6250 |  0.6736 |
| Label 111 |     0.5357 |     0.5357 |     0.6071 |     0.5714 |     0.6071 |     0.6429 |  0.5833 |
| Label 112 |     0.6400 |     0.8000 |     0.8000 |     0.8400 |     0.8000 |     0.7200 |  0.7667 |
| Label 113 |     0.3750 |     0.4167 |     0.3750 |     0.3750 |     0.4167 |     0.4167 |  0.3958 |
| Label 114 |     0.6000 |     0.6800 |     0.6800 |     0.6000 |     0.6400 |     0.6000 |  0.6333 |
| Label 115 |     0.7200 |     0.7600 |     0.7200 |     0.6800 |     0.6400 |     0.7600 |  0.7133 |
| Label 116 |     0.5200 |     0.5200 |     0.6000 |     0.5200 |     0.5200 |     0.5600 |  0.5400 |
| Label 117 |     0.6000 |     0.6400 |     0.6400 |     0.6400 |     0.6400 |     0.6400 |  0.6333 |
| Label 118 |     0.5000 |     0.5000 |     0.5000 |     0.4583 |     0.4167 |     0.3750 |  0.4583 |
| Label 119 |     0.6154 |     0.5769 |     0.6154 |     0.6154 |     0.5769 |     0.5769 |  0.5962 |
| Average   |     0.6038 |     0.6059 |     0.6015 |     0.5924 |     0.5921 |     0.6148 |  0.6017 |
+-----------+------------+------------+------------+------------+------------+------------+---------+
====================================================================================================

💾 表格已保存到: /home/liuxin25/code/sepfpl/outputs/exp4-mia/stanford_dogs/mia_results_per_label.txt

====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - oxford_flowers
====================================================================================================
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label     | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label 0   |     0.8125 |     0.7500 |     0.7500 |     0.7500 |     0.8125 |     0.8125 |  0.7812 |
| Label 1   |     0.7500 |     0.5417 |     0.5000 |     0.6250 |     0.5833 |     0.4583 |  0.5764 |
| Label 2   |     0.9375 |     0.8125 |     1.0000 |     0.8750 |     0.9375 |     0.8125 |  0.8958 |
| Label 3   |     0.6818 |     0.7273 |     0.6818 |     0.6818 |     0.7727 |     0.6818 |  0.7045 |
| Label 4   |     0.8846 |     0.6923 |     0.6923 |     0.8846 |     0.8462 |     0.8846 |  0.8141 |
| Label 5   |     0.7222 |     0.8333 |     0.8333 |     0.7778 |     0.7222 |     0.6667 |  0.7593 |
